day,month,year,last.name,first.name,diversity,pot,treatment,rep,bin,shoot,genotype,sampled,length.cm,lesion,lesion.group,lesion.cover,lc.FS,microbe.sample,shoot.damage,senescence,collection.disease.notes,collection.shoot.notes,collection.notes,extraction.year,extraction.month,extraction.day,researcher,Plate.ID,Well.ID,sample.position,sample.weight.mg,extraction.notes,Cq.Mean,Cq.Std.Dev,copy.no,copy.no/extraction,copy.no/cell,cells/uL,cells/extraction,cell/mg,cells.present,qPCR.trial.ID
14,september,2015,dubois,katie,mono,mono.purple,cold,1,2,1,purple,1,49,1,>10,15,15,1,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2H,m,3.39,lesions on sample,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.blue,cold,1,2,1,blue,1,32,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1A,m,2.62,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.blue,cold,1,2,2,blue,1,36.5,1,<1,NA,0.5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1B,m,2.96,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.blue,cold,1,2,4,blue,1,28,0,0,0,0,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1C,m,2.62,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.brown,cold,1,2,1,brown,1,45,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1D,m,2.98,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.brown,cold,1,2,2,brown,1,33,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1E,m,3.26,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.brown,cold,1,2,3,brown,1,38,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1F,m,3.14,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.brown,cold,1,2,4,brown,1,37,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1G,m,3.48,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.green,cold,1,2,1,green,1,31,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,1H,m,3.08,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.green,cold,1,2,2,green,1,23,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2A,m,3.4,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.green,cold,1,2,3,green,1,22.5,1,<1,NA,0.5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2B,m,3.63,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.green,cold,1,2,4,green,1,29.5,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2C,m,3.24,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.orange,cold,1,2,1,orange,1,40,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2D,m,2.18,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.orange,cold,1,2,2,orange,1,20.5,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2E,m,2.41,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.orange,cold,1,2,3,orange,1,29,0,0,0,0,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2F,m,3.43,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.orange,cold,1,2,4,orange,1,45,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,2G,m,3.16,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.purple,cold,1,2,2,purple,1,41.5,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,3A,m,2.71,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.purple,cold,1,2,3,purple,1,49,1,>10,35,35,1,0,0,.,.,.,2017,october,26,schenck,BWE_P1,3B,m,3.45,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.purple,cold,1,2,4,purple,1,47,1,<10,NA,5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,3C,m,2.19,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.red,cold,1,2,1,red,1,43,1,<1,NA,0.5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,3D,m,3.22,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.red,cold,1,2,2,red,1,41,1,<10,NA,5,0,0,0,covered in tiny dots,.,.,2017,october,26,schenck,BWE_P1,3E,m,3.44,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.red,cold,1,2,3,red,1,46,0,0,0,0,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,3F,m,3.26,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.red,cold,1,2,4,red,1,44,0,0,0,0,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,3G,m,3.57,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.white,cold,1,2,1,white,1,56,1,<10,NA,5,0,1,0,.,leaf tip broken,.,2017,october,26,schenck,BWE_P1,3H,m,2.86,.,0,0,0,0,854.6180529,0,0,0,0,T34
14,september,2015,dubois,katie,mono,mono.white,cold,1,2,2,white,1,40,1,<1,NA,0.5,0,0,0,.,.,.,2017,october,26,schenck,BWE_P1,4A,m,3.49,.,0,0,0,0,854.6180529,0,0,0,0,T34
